Date,Open,High,Low,Close,Adj Close,Volume
2000-04-26,3.166670,3.325000,3.166670,3.325000,2.209781,2188800
2000-04-27,3.283330,3.291670,3.232500,3.233330,2.148857,1521600
2000-04-28,3.291670,3.375000,3.291670,3.333330,2.215317,9720000
2000-05-01,3.333330,3.333330,3.333330,3.333330,2.215317,0
2000-05-02,3.291670,3.342500,3.291670,3.342500,2.221411,81600
2000-05-03,3.333330,3.375000,3.308330,3.316670,2.204245,2064000
2000-05-04,3.316670,3.316670,3.291670,3.291670,2.187630,1828800
2000-05-05,3.291670,3.333330,3.291670,3.333330,2.215317,1752000
2000-05-08,3.333330,3.333330,3.291670,3.291670,2.187630,787200
2000-05-09,3.250000,3.250000,3.250000,3.250000,2.159936,120000
2000-05-10,3.333330,3.333330,3.249170,3.333330,2.215317,8472000
2000-05-11,3.250000,3.250000,3.233330,3.233330,2.148857,758400
2000-05-12,3.208330,3.241670,3.191670,3.191670,2.121170,1238400
2000-05-15,3.208330,3.241670,3.191670,3.241670,2.154400,2126400
2000-05-16,3.291670,3.325000,3.283330,3.325000,2.209781,369600
2000-05-17,3.250000,3.390000,3.250000,3.390000,2.252980,1334400
2000-05-18,3.390000,3.458330,3.390000,3.458330,2.298392,96000
2000-05-19,3.375000,3.541670,3.333330,3.541670,2.353779,432000
2000-05-22,3.458330,3.458330,3.334170,3.458330,2.298392,566400
2000-05-23,3.416670,3.416670,3.291670,3.291670,2.187630,278400
2000-05-24,3.250000,3.266670,3.166670,3.250000,2.159936,2385600
2000-05-25,3.333330,3.334170,3.250000,3.250000,2.159936,2332800
2000-05-26,3.250000,3.308330,3.250000,3.308330,2.198702,8054400
2000-05-29,3.333330,3.335000,3.291670,3.291670,2.187630,187200
2000-05-30,3.416670,3.458330,3.416670,3.458330,2.298392,460800
2000-05-31,3.416670,3.485000,3.416670,3.485000,2.316116,1560000
2000-06-01,3.416670,3.541670,3.416670,3.508330,2.331622,177600
2000-06-02,3.508330,3.508330,3.499170,3.500000,2.326085,600000
2000-06-05,3.500000,3.583330,3.458330,3.583330,2.381466,3244800
2000-06-06,3.583330,3.583330,3.583330,3.583330,2.381466,0
2000-06-07,3.499170,3.550000,3.416670,3.550000,2.359315,3278400
2000-06-08,3.583330,3.584170,3.541670,3.583330,2.381466,787200
2000-06-09,3.542500,3.666670,3.541670,3.666670,2.436853,57600
2000-06-12,3.550000,3.550000,3.416670,3.425000,2.276240,6124800
2000-06-13,3.416670,3.416670,3.333330,3.333330,2.215317,518400
2000-06-14,3.416670,3.416670,3.416670,3.416670,2.270704,288000
2000-06-15,3.383330,3.391670,3.375000,3.375000,2.243011,4084800
2000-06-16,3.375000,3.500000,3.375000,3.475000,2.309470,4128000
2000-06-19,3.500000,3.625000,3.500000,3.625000,2.409160,1435200
2000-06-20,3.708330,3.708330,3.583330,3.666670,2.436853,211200
2000-06-21,3.666670,3.750000,3.666670,3.750000,2.492234,1382400
2000-06-22,3.750000,3.750000,3.750000,3.750000,2.492234,0
2000-06-23,3.749170,3.766670,3.749170,3.750000,2.492234,2438400
2000-06-26,3.758330,3.766670,3.750000,3.750000,2.492234,547200
2000-06-27,3.791670,3.791670,3.750000,3.750000,2.492234,273600
2000-06-28,3.750000,3.833330,3.750000,3.833330,2.547615,528000
2000-06-29,3.750000,3.833330,3.750000,3.790830,2.519370,1401600
2000-06-30,3.833330,3.833330,3.749170,3.749170,2.491683,724800
2000-07-03,3.749170,3.833330,3.708330,3.750000,2.492234,528000
2000-07-04,3.750000,3.833330,3.750000,3.833330,2.547615,1670400
2000-07-05,3.791670,3.834170,3.791670,3.833330,2.547615,628800
2000-07-06,3.916670,3.941670,3.875000,3.916670,2.603002,2712000
2000-07-07,3.916670,3.917500,3.916670,3.917500,2.603554,33600
2000-07-10,3.916670,3.936670,3.916670,3.933330,2.614075,883200
2000-07-11,3.833330,3.833330,3.783330,3.783330,2.514385,168000
2000-07-12,3.783330,3.791670,3.775000,3.791670,2.519928,24201600
2000-07-13,3.783330,3.783330,3.733330,3.733330,2.481155,379200
2000-07-14,3.675000,3.675000,3.558330,3.558330,2.364851,19200
2000-07-17,3.625000,4.040830,3.625000,3.960830,2.632351,302400
2000-07-18,4.000000,4.000000,3.833330,3.833330,2.547615,604800
2000-07-19,3.629170,3.916670,3.629170,3.629170,2.411931,0
2000-07-20,3.833330,3.833330,3.750000,3.750000,2.492234,254400
2000-07-21,3.750000,3.808330,3.750000,3.804170,2.528235,1099200
2000-07-24,3.833330,3.875000,3.833330,3.875000,2.575309,638400
2000-07-25,3.875000,3.915830,3.875000,3.915830,2.602445,9600
2000-07-26,3.916670,3.916670,3.875000,3.916670,2.603002,633600
2000-07-27,3.916670,3.916670,3.875000,3.875000,2.575309,139200
2000-07-28,3.833330,3.833330,3.708330,3.708330,2.464540,604800
2000-07-31,3.708330,3.708330,3.666670,3.708330,2.464540,643200
2000-08-01,3.750000,3.750000,3.704170,3.708330,2.464540,336000
2000-08-02,3.708330,3.708330,3.708330,3.708330,2.464540,105600
2000-08-03,3.708330,3.708330,3.708330,3.708330,2.464540,369600
2000-08-04,3.733330,3.833330,3.733330,3.808330,2.531000,2774400
2000-08-07,3.833330,3.900000,3.833330,3.900000,2.591923,1488000
2000-08-08,3.916670,3.916670,3.875000,3.891670,2.586387,460800
2000-08-09,3.875000,3.875000,3.816670,3.816670,2.536542,2020800
2000-08-10,3.818330,3.818330,3.799170,3.799170,2.524912,988800
2000-08-11,3.916670,3.916670,3.915830,3.916670,2.603002,268800
2000-08-14,3.958330,3.975000,3.916670,3.933330,2.614075,753600
2000-08-15,3.958330,4.000000,3.941670,3.991670,2.652847,273600
2000-08-16,3.959170,3.966670,3.958330,3.958330,2.630690,326400
